task_code,username,is_correct,time_spent,hints_used,attempt_number,created_at
migr_01_1011,vitia_srednyachok,FALSE,345,1,1,2025-07-19T11:09:00
migr_01_1011,vitia_srednyachok,TRUE,353,0,2,2025-07-19T11:11:00
migr_01_1012,vitia_srednyachok,FALSE,337,0,1,2025-07-19T13:44:00
migr_01_1012,vitia_srednyachok,FALSE,350,1,2,2025-07-19T13:46:00
migr_01_1012,vitia_srednyachok,TRUE,360,2,3,2025-07-19T13:48:00
migr_01_1013,vitia_srednyachok,FALSE,332,0,1,2025-07-20T10:17:00
migr_01_1013,vitia_srednyachok,TRUE,346,1,2,2025-07-20T10:19:00
migr_01_1014,vitia_srednyachok,TRUE,328,0,1,2025-07-20T12:56:00
migr_01_1015,vitia_srednyachok,FALSE,339,1,1,2025-07-20T14:25:00
migr_01_1015,vitia_srednyachok,FALSE,350,0,2,2025-07-20T14:27:00
migr_01_1015,vitia_srednyachok,FALSE,355,1,3,2025-07-20T14:29:00
migr_01_1016,vitia_srednyachok,FALSE,342,0,1,2025-07-20T15:45:00
migr_01_1016,vitia_srednyachok,FALSE,351,1,2,2025-07-20T15:47:00
migr_01_1016,vitia_srednyachok,FALSE,358,0,3,2025-07-20T15:49:00
migr_01_1001,vitia_srednyachok,TRUE,327,0,1,2025-07-21T09:15:00
migr_01_1002,vitia_srednyachok,FALSE,338,1,1,2025-07-21T11:42:00
migr_01_1002,vitia_srednyachok,TRUE,349,0,2,2025-07-21T11:44:00
migr_01_1003,vitia_srednyachok,TRUE,321,0,1,2025-07-21T13:29:00
migr_01_1004,vitia_srednyachok,FALSE,335,0,1,2025-07-21T15:51:00
migr_01_1004,vitia_srednyachok,TRUE,348,1,2,2025-07-21T15:53:00
migr_01_1005,vitia_srednyachok,TRUE,318,0,1,2025-07-22T10:37:00
migr_01_1006,vitia_srednyachok,TRUE,324,0,1,2025-07-22T12:23:00
migr_01_1007,vitia_srednyachok,FALSE,342,1,1,2025-07-22T14:14:00
migr_01_1007,vitia_srednyachok,TRUE,354,0,2,2025-07-22T14:16:00
migr_01_1008,vitia_srednyachok,TRUE,316,0,1,2025-07-23T10:48:00
migr_01_1009,vitia_srednyachok,FALSE,345,1,1,2025-07-23T12:35:00
migr_01_1009,vitia_srednyachok,TRUE,358,0,2,2025-07-23T12:37:00
migr_01_1010,vitia_srednyachok,TRUE,329,0,1,2025-07-23T14:20:00
migr_01_1011,vitia_srednyachok,TRUE,322,0,1,2025-07-24T10:15:00
migr_01_1012,vitia_srednyachok,FALSE,340,1,1,2025-07-24T12:45:00
migr_01_1012,vitia_srednyachok,TRUE,356,0,2,2025-07-24T12:47:00
migr_01_1013,vitia_srednyachok,TRUE,335,0,1,2025-07-24T14:30:00
migr_01_1014,vitia_srednyachok,TRUE,328,0,1,2025-07-25T10:45:00
migr_01_1015,vitia_srednyachok,FALSE,343,1,1,2025-07-25T12:30:00
migr_01_1015,vitia_srednyachok,TRUE,357,0,2,2025-07-25T12:32:00
migr_01_1016,vitia_srednyachok,TRUE,325,0,1,2025-07-25T14:15:00
migr_01_1017,vitia_srednyachok,TRUE,330,0,1,2025-07-26T10:20:00
migr_01_1018,vitia_srednyachok,TRUE,315,0,1,2025-07-26T12:05:00
migr_01_1019,vitia_srednyachok,FALSE,339,1,1,2025-07-26T13:50:00
migr_01_1019,vitia_srednyachok,TRUE,352,0,2,2025-07-26T13:52:00
migr_01_1020,vitia_srednyachok,FALSE,345,0,1,2025-07-27T11:30:00
migr_01_1020,vitia_srednyachok,TRUE,358,1,2,2025-07-27T11:32:00
migr_01_2001,vitia_srednyachok,FALSE,346,0,1,2025-07-28T09:25:00
migr_01_2001,vitia_srednyachok,TRUE,358,1,2,2025-07-28T09:27:00
migr_01_2002,vitia_srednyachok,TRUE,329,0,1,2025-07-28T12:14:00
migr_01_2003,vitia_srednyachok,FALSE,351,1,1,2025-07-29T10:43:00
migr_01_2003,vitia_srednyachok,TRUE,360,0,2,2025-07-29T10:45:00
migr_01_2004,vitia_srednyachok,TRUE,332,0,1,2025-07-29T13:27:00
migr_01_2005,vitia_srednyachok,FALSE,344,0,1,2025-07-30T09:18:00
migr_01_2005,vitia_srednyachok,FALSE,356,2,2,2025-07-30T09:20:00
migr_01_2005,vitia_srednyachok,TRUE,359,1,3,2025-07-30T09:22:00
migr_01_2006,vitia_srednyachok,TRUE,325,0,1,2025-07-30T11:59:00
migr_01_2007,vitia_srednyachok,FALSE,348,1,1,2025-07-31T10:36:00
migr_01_2007,vitia_srednyachok,TRUE,357,0,2,2025-07-31T10:38:00
migr_01_2008,vitia_srednyachok,TRUE,334,0,1,2025-07-31T13:52:00
migr_01_2009,vitia_srednyachok,FALSE,349,1,1,2025-08-01T09:41:00
migr_01_2009,vitia_srednyachok,TRUE,355,0,2,2025-08-01T09:43:00
migr_01_2010,vitia_srednyachok,TRUE,326,0,1,2025-08-01T12:28:00
migr_01_2011,vitia_srednyachok,FALSE,347,0,1,2025-08-02T10:15:00
migr_01_2011,vitia_srednyachok,FALSE,354,2,2,2025-08-02T10:17:00
migr_01_2011,vitia_srednyachok,TRUE,360,1,3,2025-08-02T10:19:00
migr_01_2012,vitia_srednyachok,TRUE,318,0,1,2025-08-02T13:44:00
migr_01_2013,vitia_srednyachok,FALSE,343,1,1,2025-08-03T11:29:00
migr_01_2013,vitia_srednyachok,TRUE,352,0,2,2025-08-03T11:31:00
migr_01_2014,vitia_srednyachok,TRUE,327,0,1,2025-08-03T14:08:00
migr_01_2015,vitia_srednyachok,FALSE,340,0,1,2025-08-03T15:25:00
migr_01_2015,vitia_srednyachok,TRUE,356,1,2,2025-08-03T15:27:00
migr_01_2016,vitia_srednyachok,TRUE,330,0,1,2025-08-03T16:45:00
migr_01_2017,vitia_srednyachok,TRUE,324,0,1,2025-08-03T17:30:00
migr_01_2018,vitia_srednyachok,TRUE,338,0,1,2025-08-03T18:15:00
